No,f1,f2,a1,a2,X,Y,Z,K,M,N
278,0,-0.5,-90,0,,,,,,
279,0,-0.5,-90,45,,,,,,
280,0,-0.5,-90,90,,,,,,
281,0,-0.5,-45,-90,,,,,,
282,0,-0.5,-45,-45,,,,,,
283,0,-0.5,-45,0,,,,,,
284,0,-0.5,-45,45,,,,,,
285,0,-0.5,-45,90,,,,,,
286,0,-0.5,0,-90,,,,,,
287,0,-0.5,0,-45,,,,,,
288,0,-0.5,0,0,,,,,,
289,0,-0.5,0,45,,,,,,
290,0,-0.5,0,90,,,,,,
291,0,-0.5,45,-90,,,,,,
292,0,-0.5,45,-45,,,,,,
293,0,-0.5,45,0,,,,,,
294,0,-0.5,45,45,,,,,,
295,0,-0.5,45,90,,,,,,
296,0,-0.5,90,-90,,,,,,
297,0,-0.5,90,-45,,,,,,
298,0,-0.5,90,0,,,,,,
299,0,-0.5,90,45,,,,,,
300,0,-0.5,90,90,,,,,,
301,0,0,-90,-90,0,0,0,0,0,0
302,0,0,-90,-45,0,0,0,0,0,0
303,0,0,-90,0,0,0,0,0,0,0
304,0,0,-90,45,0,0,0,0,0,0
305,0,0,-90,90,0,0,0,0,0,0
306,0,0,-45,-90,0,0,0,0,0,0
307,0,0,-45,-45,0,0,0,0,0,0
308,0,0,-45,0,0,0,0,0,0,0
309,0,0,-45,45,0,0,0,0,0,0
310,0,0,-45,90,0,0,0,0,0,0
311,0,0,0,-90,0,0,0,0,0,0
312,0,0,0,-45,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0
314,0,0,0,45,0,0,0,0,0,0
315,0,0,0,90,0,0,0,0,0,0
316,0,0,45,-90,0,0,0,0,0,0
317,0,0,45,-45,0,0,0,0,0,0
318,0,0,45,0,0,0,0,0,0,0
319,0,0,45,45,0,0,0,0,0,0
320,0,0,45,90,0,0,0,0,0,0
321,0,0,90,-90,0,0,0,0,0,0
322,0,0,90,-45,0,0,0,0,0,0
323,0,0,90,0,0,0,0,0,0,0
324,0,0,90,45,0,0,0,0,0,0
325,0,0,90,90,0,0,0,0,0,0
326,0,0.5,-90,-90,,,,,,
327,0,0.5,-90,-45,,,,,,
328,0,0.5,-90,0,,,,,,
329,0,0.5,-90,45,,,,,,
330,0,0.5,-90,90,,,,,,
331,0,0.5,-45,-90,,,,,,
332,0,0.5,-45,-45,,,,,,
